num_heads	ff_dim	num_transformer_blocks	dropout_rate	learning_rate	batch_size	AUC	Accuracy
2	64	3	0.1	0.001	32	0.9995429515838623	0.9933254718780518
4	128	3	0.1	0.0005	32	0.9994807839393616	0.9937875270843506
8	256	2	0.1	0.001	64	0.9994218349456787	0.9936506152153015
8	64	2	0.2	0.001	128	0.999413251876831	0.9939073324203491
8	128	2	0.2	0.0005	32	0.9994105696678162	0.9937704205513
2	256	3	0.1	0.001	32	0.9994067549705505	0.9928120374679565
4	128	2	0.2	0.001	32	0.9994057416915894	0.9933938980102539
8	256	3	0.1	0.001	64	0.9993874430656433	0.9933083653450012
8	256	2	0.1	0.0005	32	0.9993415474891663	0.9923670887947083
4	64	3	0.1	0.0005	128	0.9993322491645813	0.9921959042549133
2	256	3	0.2	0.0005	64	0.9992783665657043	0.9925382137298584
2	256	3	0.2	0.0001	32	0.9991998672485352	0.9900224208831787
4	64	2	0.3	0.0005	64	0.9991800785064697	0.9931029677391052
4	128	4	0.2	0.001	32	0.9991740584373474	0.9923670887947083
4	128	2	0.3	0.0005	128	0.9991248250007629	0.9912546277046204
8	128	2	0.1	0.0001	64	0.999114453792572	0.9889100193977356
8	128	4	0.3	0.0005	128	0.9990888833999634	0.9904331564903259
2	128	3	0.2	0.0001	32	0.9990501403808594	0.9899539351463318
8	64	4	0.2	0.0005	32	0.9990297555923462	0.9929660558700562
8	256	2	0.3	0.001	128	0.9989585280418396	0.9912375211715698
2	64	2	0.2	0.0001	64	0.9987086057662964	0.9819616079330444
8	128	3	0.1	0.0001	64	0.9986379742622375	0.9894062876701355
2	64	4	0.1	0.0001	64	0.9986259341239929	0.9888415336608887
8	128	4	0.3	0.0001	128	0.9982856512069702	0.9834334254264832
8	256	4	0.2	0.0001	128	0.9980977773666382	0.9791035652160645
